stateFips,area,areaType,period,periodYear,periodType,periodTypeDescription,cpi,title,type,source,cpiSourceDescription,percentChangeYear,percentChangeMonth,dataRegion,areaName
0,0,0,2,2011,3,Monthly,221.3,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",2.1,0.5,US,United States
0,0,0,2,2011,3,Monthly,222.3,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",2.2,0.5,US,United States
0,0,0,3,2011,3,Monthly,220,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3,1.1,US,United States
0,0,0,3,2011,3,Monthly,220.1,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.1,0.6,US,United States
0,0,0,4,2011,3,Monthly,221.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.6,0.8,US,United States
0,0,0,4,2011,3,Monthly,221.2,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.6,0.5,US,United States
0,0,0,5,2011,3,Monthly,226,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.6,0.5,US,United States
0,0,0,5,2011,3,Monthly,224.8,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.4,0.2,US,United States
8,2,24,6,2013,7,Semi-Annual,110.19,CPI-U:  Apparel,54,1,"US DOL, Bureau of Labor Statistics",13.6,,CO,Denver/Boulder/Greeley
0,0,0,6,2011,3,Monthly,225.7,"CPI-U all items 1982-84=100, not seasonally adjusted",1,1,"US DOL, Bureau of Labor Statistics",3.6,-0.1,US,United States
0,0,0,6,2011,3,Monthly,224.3,"CPI-U all items 1982-84=100, seasonally adjusted",2,1,"US DOL, Bureau of Labor Statistics",3.4,-0.2,US,United States
